ID,category,name,price,link,brand,warranty,type,part_number,color,led,use_case,Dung lượng,Thế hệ,speed,timing,voltage,Mô tả bảo hành,ecc,capacity_gb,speed_mhz
ram_049,RAM,RAM desktop TeamGroup T-Force Delta RGB (1 x 8GB) DDR4 3200MHz (TF4D48G3200HC16C01),2690000,https://phongvu.vn/ram-team-t-force-delta-white-rgb-8gb-ddr4-3200-mhz-tf4d48g3200hc16c01--s220101518,TeamGroup,36 tháng,DDR4,TF4D48G3200HC16C01,Trắng,RGB,"Gaming, Đồ họa - Kỹ thuật",1 x 8GB,DDR4,3200MHz,16.0,1.35V,,,8,3200.0
ram_050,RAM,RAM Laptop DDR4 Kingston 8GB,2590000,https://phongvu.vn/ram-laptop-ddr4-kingston-8gb--s200600746,Kingston,36 tháng,DDR4,KVR32S22S8/8,Xanh,Không LED,,1 x 8GB,DDR4,3200MHz,22.0,1.2V,,,8,3200.0
ram_051,RAM,RAM desktop Crucial Ballistix Tactical Tracer RGB BLT4K8G4D26BFT4K (4x8GB) DDR4 2666MHz,5590000,https://phongvu.vn/bo-nho-ram-crucial-ballistix-tactical-tracer-rgb-32gb-4-8gb-ddr4-2666-heatspreader-blt4k8g4d26bft4k--s1809395,Crucial,36 tháng,DDR4,BLT4K8G4D26BFT4K,Xám,RGB,,4 x 8GB,DDR4,2666MHz,16.0,,,,32,2666.0
ram_052,RAM,RAM desktop G.skill Trident Z5 RGB (1 x 32GB) DDR5 6000MHz (F5-6000J3636F32GX1-TZ5RK),14990000,https://phongvu.vn/bo-nho-trong-ram-desktop-g-skill-trident-z5-rgb-32gb-32gbx1-ddr5-6000mhz-f5-6000j3636f32gx1-tz5rk--s251204801,G.skill,36 tháng,DDR5,F5-6000J3636F32GX1-TZ5RK,Đen,RGB,Gaming,1 x 32GB,DDR5,6000MHz,36.0,1.35V,,,32,6000.0
ram_053,RAM,RAM desktop Kingmax HEATSINK Horizon (1 x 16GB) DDR5 5600MHz (KM-LD54-5600-16GSHN38),7590000,https://phongvu.vn/bo-nho-trong-ram-kingmax-16gb-ddr5-5600-heatsink-horizon-km-ld54-5600-16gshn38--s251102033,Kingmax,36 tháng,DDR5,KM-LD54-5600-16GSHN38,Đen,Không LED,Văn phòng,1 x 16GB,DDR5,5600MHz,36.0,1.25V,,,16,5600.0
ram_054,RAM,RAM desktop SP XPOWER Zenith (1 x 16GB) DDR5 6000MHz (SP016GXLWU60FFSF),3690000,https://phongvu.vn/bo-nho-trong-ram-sp-xpower-zenith-ddr5-rgb-1x16gb-6000-mhz-black-expo-xmp-sp016gxlwu60ffsf--s251013329,SP,36 tháng,DDR5,SP016GXLWU60FFSF,Đen,RGB,Gaming,1 x 16GB,DDR5,6000MHz,36.0,1.35V,,,16,6000.0
ram_055,RAM,RAM desktop Kingston (1 x 16GB) DDR5 5600MHz (KVR56U46BS8-16WP),7990000,https://phongvu.vn/bo-nho-trong-ram-kingston-ddr5-16g-5600-mhz-cl46-udimm-kvr56u46bs8-16wp--s250809217,Kingston,36 tháng,DDR5,KVR56U46BS8-16WP,Xanh,Không LED,Văn phòng,1 x 16GB,DDR5,5600MHz,46.0,1.1V,,ECC,16,5600.0
ram_056,RAM,RAM desktop Kingston FURY Beast RGB (2 x 8GB) DDR5 5200MHz (KF552C40BBAK2-16),7190000,https://phongvu.vn/bo-nho-trong-ram-kingston-ddr5-16gb-5200-mhz-cl40-dimm-kit-2-x-8g-fury-beast-rgb-kf552c40bbak2-16--s250809142,Kingston,36 tháng,DDR5,KF552C40BBAK2-16,Đen,RGB,Gaming,2 x 8GB,DDR5,5200MHz,40.0,1.25V,,,16,5200.0
ram_057,RAM,RAM desktop G.skill Trident Z5 Neo RGB (2 x 32GB) DDR5 6000MHz (F5-6000J3636F32GX2-TZ5NR),33990000,https://phongvu.vn/bo-nho-trong-ram-pc-g-skill-trident-z5-neo-rgb-64gb-2x32gb-6000mhz-black-f5-6000j3636f32gx2-tz5nr--s250722535,G.skill,36 tháng,DDR5,F5-6000J3636F32GX2-TZ5NR,Đen,RGB,Gaming,2 x 32GB,DDR5,6000MHz,36.0,1.35V,,,64,6000.0
ram_058,RAM,RAM server Kingston (1 x 16GB) DDR5 5600MHz (KSM56E46BS8KM-16HA),6590000,https://phongvu.vn/bo-nho-trong-ram-kingston-16gb-1rx8-pc5-5600b-udimm-ksm56e46bs8km-16ha--s250711182,Kingston,36 tháng,DDR5,KSM56E46BS8KM-16HA,Xanh,,Văn phòng,1 x 16GB,DDR5,5600MHz,46.0,1.1V,,ECC,16,5600.0
ram_059,RAM,Silicon (1 x 16GB) DDR4 3200MHz (SP016GXLZU320BSD),1390000,https://phongvu.vn/bo-nho-trong-ram-silicon-ddr4-3200-c16-rgb-udim-16gb-w-hs-sp016gxlzu320bsd--s250709450,Silicon,60 tháng,DDR4,SP016GXLZU320BSD,Đen,RGB,"Gaming, Văn phòng",1 x 16GB,DDR4,3200MHz,16.0,1.35V,,,16,3200.0
ram_060,RAM,RAM desktop Kingston FURY Beast RGB EXPO (2 x 32GB) DDR5 6000MHz (KF560C36BBEAK2-64),24590000,https://phongvu.vn/bo-nho-trong-ram-kingston-64gb-6000mt-s-ddr5-cl36-dimm-kit-of-2-fury-beast-rgb-expo-kf560c36bbeak2-64--s250520581,Kingston,36 tháng,DDR5,KF560C36BBEAK2-64,Đen,RGB,Văn phòng,2 x 32GB,DDR5,6000MHz,,1.35V,Tối thiểu 36T hoặc đến khi bỏ mẫu,,64,6000.0
ram_061,RAM,RAM desktop Corsair Vengeance RGB (2 x 16GB) DDR5 6000MHz (CMH32GX5M2E6000C36),14190000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr5-6000mhz-32gb-2x16gb-dimm-vengeance-rgb-black-heatspreader-rgb-led-1-25v--s250418645,Corsair,36 tháng,DDR5,CMH32GX5M2E6000C36,Đen,RGB,Văn phòng,2 x 16GB,DDR5,6000MHz,36.0,1.25V,,,32,6000.0
ram_062,RAM,RAM desktop Corsair DOMINATOR TITANIUM RGB (2 x 48GB) DDR5 6600 MHz (CMP64GX5M2X6600C32W),44990000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr5-6600mt-s-96gb-2x48gb-dimm-xmp-3-0-dominator-titanium-black-heatspreader-rgb-led-1-4v--s250418647,Corsair,36 tháng,DDR5,CMP64GX5M2X6600C32W,Đen,RGB,"Văn phòng, Đồ họa - Kỹ thuật",2 x 48GB,DDR5,6600 MHz,32.0,1.4V,,,96,6600.0
ram_063,RAM,RAM desktop Kingston FURY Beast (2 x 32GB) DDR5 5600MHz (KF556C40BBAK2-64),28990000,https://phongvu.vn/bo-nho-trong-ram-desktop-kingston-fury-beast-rgb-ddr5-64gb-2-x-32g-5600mhz--s250415369,Kingston,36 tháng,DDR5,KF556C40BBAK2-64,Đen,RGB,Gaming,2 x 32GB,DDR5,5600MHz,36.0,1.4V,,,64,5600.0
ram_064,RAM,RAM desktop TeamGroup Elite (1 x 16GB) DDR5 5600MHz (TED516G5600C4601),2090000,https://phongvu.vn/bo-nho-trong-ram-teamgroup-elite-16gb-ddr5-5600--s250203274,TeamGroup,36 tháng,DDR5,TED516G5600C4601,Đen,,Gaming,1 x 16GB,DDR5,5600MHz,46.0,1.1V,,,16,5600.0
ram_065,RAM,RAM laptop TeamGroup Elite (1 x 16GB) DDR5 5600MHz (TED516G5600C46A-S01),6690000,https://phongvu.vn/bo-nho-trong-ram-laptop-teamgroup-elite-16gb-ddr5-5600--s250203270,TeamGroup,36 tháng,DDR5,TED516G5600C46A-S01,Đen,,Gaming,1 x 16GB,DDR5,5600MHz,46.0,1.1V,,,16,5600.0
ram_066,RAM,RAM desktop TeamGroup Delta RGB (1 x 16GB) DDR5 6000MHz (FF3D516G6000HC38G01),6890000,https://phongvu.vn/bo-nho-trong-ram-teamgroup-delta-black-rgb-16gb-ddr5-6000-cl38-46--s250203230,TeamGroup,60 tháng,DDR5,FF3D516G6000HC38G01,Đen,RGB,Gaming,1 x 16GB,DDR5,6000MHz,38.0,1.25V,,,16,6000.0
ram_067,RAM,RAM desktop Crucial (1 x 16GB) DDR5 5600MHz (CT16G56C46U5),6790000,https://phongvu.vn/bo-nho-ram-desktop-ddr5-crucial-16gb-5600-ct16g56c46u5--s250102936,Crucial,36 tháng,DDR5,CT16G56C46U5,Đen,Không LED,Văn phòng,1 x 16GB,DDR5,5600MHz,46.0,1.1V,,,16,5600.0
ram_068,RAM,RAM desktop TeamGroup Elite (1 x 16GB) DDR4 3200MHz (TED416G3200C2201),950000,https://phongvu.vn/bo-nho-trong-ram-desktop-teamgroup-elite-16gb-ddr4-3200-ted416g3200c2201--s241002564,TeamGroup,36 tháng,DDR4,TED416G3200C2201,Đen,,Gaming,1 x 16GB,DDR4,3200MHz,22.0,1.2V,,,16,3200.0
ram_069,RAM,RAM Teamgroup Xtreem ARGB Black 2x24GB DDR5-8000,8590000,https://phongvu.vn/ram-teamgroup-xtreem-argb-black-2x24gb-ddr5-8000--s240902582,Team,60 tháng,DDR5,FF9D548G8000HC38EDC01,Đen,ARGB,"Gaming, Đồ họa - Kỹ thuật",2 x 24GB,DDR5,8000MHz,38.0,1.4V,,,24,8000.0
ram_070,RAM,RAM desktop TEAM FF9D548G7200HC34ADC01 (2 x 24GB) DDR5 7200MHz (FF9D548G7200HC34ADC01),6790000,https://phongvu.vn/bo-nho-trong-ram-teamgroup-xtreem-black-2x24gb-ddr5-7200-ff9d548g7200hc34adc01--s240703615,Team,60 tháng,DDR5,FF9D548G7200HC34ADC01,Đen,ARGB,"Gaming, Đồ họa - Kỹ thuật",2 x 24GB,DDR5,7200MHz,38.0,1.4V,,ECC,48,7200.0
ram_071,RAM,RAM desktop CORSAIR Vengeance LPX Black Heatspreader (1 x 16GB) DDR5 5600MHz (CMK16GX5M1B5600C40),6890000,https://phongvu.vn/bo-nho-trong-ram-corsair-ddr5-5600mhz-16gb-dimm-vengeance-lpx-black-heatspreader-c40-1-25v-cmk16gx5m1b5600c40--s240302549,Corsair,36 tháng,DDR5,CMK16GX5M1B5600C40,Đen,,Văn phòng,1 x 16GB,DDR5,5600MHz,40.0,1.25V,,,16,5600.0
ram_072,RAM,RAM desktop Adata XPG SPECTRIX D35G (1 x 16GB) DDR4 3200MHz (AX4U320016G16A-SBKD35G),4590000,https://phongvu.vn/bo-nho-ram-desktop-adata-xpg-spectrix-d35g-16gb-ddr4-3200-ax4u320016g16a-sbkd35g--s230702528,Adata,60 tháng,DDR4,AX4U320016G16A-SBKD35G,Đen,Không LED,"Gaming, Văn phòng",1 x 16GB,DDR4,3200MHz,18.0,1.35V,,,16,3200.0
ram_073,RAM,RAM desktop Corsair Dominator Platinum RGB (2 x 32GB) DDR5 5200MHz (CMT64GX5M2B5200C40),6799000,https://phongvu.vn/bo-nho-ram-corsair-ddr5-5200mhz-64gb-2x32gb-dimm-dominator-platinum-rgb-black-heatspreader-rgb-led-c40-1-25v-cmt64gx5m2b5200c40--s230302722,Corsair,36 tháng,DDR5,CMT64GX5M2B5200C40,Đen,RGB,"Gaming, Đồ họa - Kỹ thuật",2 x 32GB,DDR5,5200MHz,40.0,1.25V,,,64,5200.0
ram_074,RAM,RAM desktop Corsair Vengeance LPX (2 x 16GB) DDR5 5200MHz (CMK32GX5M2B5200C40),3790000,https://phongvu.vn/bo-nho-ram-corsair-ddr5-5200mhz-32gb-2x16gb-dimm-vengeance-lpx-black-heatspreader-c40-1-25v-cmk32gx5m2b5200c40--s230302710,Corsair,36 tháng,DDR5,CMK32GX5M2B5200C40,Đen,Không LED,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp",2 x 16GB,DDR5,5200MHz,40.0,1.25V,,,32,5200.0
ram_075,RAM,RAM desktop Apacer NOX RGB AURA 2 (1 x 16GB) DDR4 3200MHz (AH4U16G32C28YNWAA-1),1890000,https://phongvu.vn/ram-desktop-apacer-ddr4-16g-3200-oc-nox-rgb-white-aura-2-ah4u16g32c28ynwaa-1--s220706827,Apacer,36 tháng,DDR4,AH4U16G32C28YNWAA-1,Trắng,RGB,"Gaming, Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Học sinh - Sinh viên",1 x 16GB,DDR4,3200MHz,38.0,1.35V,,,16,3200.0
