ID,category,name,price,link,brand,warranty,type,Màu sắc của ổ cứng,Dung lượng,Kết nối,Tốc độ đọc,Hỗ trợ hệ điều hành,Kích thước,Tốc độ vòng quay,Tốc độ ghi,Bộ nhớ NAND,cache,warranty_desc
storage_076,Storage,"Ổ cứng HDD WD Purple Pro 12TB 3.5"" SATA3 512MB Cache 7200RPM (WD122PURP) (Tím)",12490000,https://phongvu.vn/o-cung-hdd-wd-purple-pro-12tb-3-5-sata3-512mb-cache-7200rpm-wd122purp-tim--s241205223,WD,60 tháng,HDD,Tím,12TB,SATA 3,,,"3.5""",7200RPM,,,512MB,
storage_077,Storage,"Ổ cứng di động HDD WD My Passport Ultra 2TB 2.5"" Limited Edition Green (WDBJXT0020BGN-WESN) (Xanh)",3690000,https://phongvu.vn/o-cung-gan-ngoai-hdd-wd-my-passport-ultra-2tb-2-5-limited-edition-green-wdbjxt0020bgn-wesn-xanh--s241202771,WD,36 tháng,HDD,Xanh,2TB,USB 3.2,,"Windows 10+, macOS 11+",Khác,,,,,
storage_078,Storage,"Ổ cứng di động HDD Transcend StoreJet 2.5"" 25H3 4TB Navy Blue (TS4TSJ25H3B)",5190000,https://phongvu.vn/o-cung-di-dong-hdd-transcend-storejet-2-5-25h3-4tb-navy-blue-ts4tsj25h3b--s241101879,Transcend,36 tháng,di động HDD,Navy Blue,4TB,USB 3.1,,"macOS 10.10 trở lên, Windows 7 trở lên","2.5""",,,,,
storage_079,Storage,"Ổ cứng HDD WD 4TB Black (3.5 inch, 7200RPM, SATA, 256MB cache) (WD4006FZBX)",5790000,https://phongvu.vn/o-cung-gan-trong-hdd-wd-black-4tb-3-5inch-sata-3-256mb-cache-7200rpm-mau-den-wd4006fzbx--s241004809,WD,60 tháng,HDD,Đen,4TB,SATA 3,,,"3.5""",7200RPM,,,256MB,
storage_080,Storage,Ổ cứng gắn trong/ SSD WD Black SN770M 2TB M.2 2230 NVMe PCIe Gen4 x4 (WDBDNH0020BBK-WRSN),5490000,https://phongvu.vn/o-cung-ssd-wd-black-sn770m-nvme-2tb-wdbdnh0020bbk-wrsn--s241001457,WD,60 tháng,SSD,Đen,2TB,PCIe,5150MB/s,Windows 10+,M.2 2230,,4850MB/s,,,
storage_081,Storage,Ổ cứng SSD TeamGroup MP33 PRO 512GB M.2 PCIe Gen3x4,990000,https://phongvu.vn/o-cung-ssd-teamgroup-mp33-pro-512gb-m-2-pcie-gen3x4--s240802736,Team,36 tháng,SSD,Xanh,512GB,M.2 NVMe,3500MB/s,"Windows 11, Windows 10, Windows 8.1, Windows 8, Windows 7, Linux",M.2 2280,,3000MB/s,,,
storage_082,Storage,Ổ cứng SSD SPATIUM M450 PCIe 4.0 NVMe M.2 500GB,1250000,https://phongvu.vn/o-cung-ssd-spatium-m450-pcie-4-0-nvme-m-2-500gb--s240802739,Msi,60 tháng,SSD,Xanh,500GB,M.2 NVMe,3600MB/s,,M.2 2280,,2300MB/s,3D-NAND,,
storage_083,Storage,Ổ cứng di động SSD Samsung Portable T5 EVO 8TB (MU-PH8T0S/WW) (Đen),31990000,https://phongvu.vn/o-cung-di-dong-ssd-samsung-portable-t5-evo-8tb-mu-ph8t0s-ww-den--s240703436,Samsung,,SSD,Đen,8TB,USB 3.2,460MB/s,"macOS, Android, Windows",,,460MB/s,,,
storage_084,Storage,"Ổ Cứng di Động SSD Transcend 2TB ESD265C,Type-C, USB 10Gbps (TS2TESD265C)",5290000,https://phongvu.vn/o-cung-di-dong-ssd-transcend-2tb-esd265c-type-c-usb-10gbps-ts2tesd265c--s240503463,Transcend,60 tháng,di động SSD,Xám,2TB,USB Type C,1050MB/s,"Windows, macOS, iOS, Linux, ChromeOS, Android",Khác,,950MB/s,3D-NAND,,
storage_085,Storage,"Ổ Cứng di Động SSD Transcend 2TB ESD320A,USB-A, USB 10Gbps (TS2TESD320A)",5190000,https://phongvu.vn/o-cung-di-dong-ssd-transcend-2tb-esd320a-usb-a-usb-10gbps-ts2tesd320a--s240503460,Transcend,60 tháng,di động SSD,Xám,2TB,USB 3.2,1050MB/s,"Windows, macOS, Linux, ChromeOS, Android",Khác,,950MB/s,3D-NAND,,
storage_086,Storage,Ổ Cứng di Động SSD 1TB ASUS TUF Gaming AS1000,2990000,https://phongvu.vn/o-cung-di-dong-ssd-1tb-asus-tuf-gaming-as1000--s240502362,Asus,36 tháng,SSD,Đen,1TB,USB 3.2,10Gbps,"Windows 10, Windows 11, macOS, Android, ChromeOS",,,10Gbps,,,
